Name,Country,Rank,Handle
,Japan,international grandmaster,risujiroh
,China,international grandmaster,thomaswmy
Arox,China,international grandmaster,OIer_kzc
,China,international grandmaster,zltzlt
ko~ko~da~yo~,,international grandmaster,KroosTheKeenGlint
,,international grandmaster,bronze_coder
Yijun Wang,,international grandmaster,yixiuge777
,Japan,international grandmaster,riano_
Maxim Plyushkin,Russia,international grandmaster,maxplus
Ivan Kuznetsov,Russia,international grandmaster,EJIC_B_KEDAX
Hamed Ghaffari,Iran,international grandmaster,Hamed_Ghaffari
Huang I-Wen,Taiwan,international grandmaster,dreamoon_love_AA
Lucas,Germany,international grandmaster,LuCpp
,United States,international grandmaster,matchalover
Zhizheng j0q29IcQdD5M71esXKc1,China,international grandmaster,rubbishZ
Rafał Mańczyk,Poland,international grandmaster,Rafi22
Tadija Šebez,Serbia,international grandmaster,TadijaSebez
,China,international grandmaster,llloserqz
Samvel Andreasyan,Armenia,international grandmaster,Andreasyan
Noam Gutterman,Israel,international grandmaster,Noam527
,China,international grandmaster,leukocyte
,,international grandmaster,ProjectCF
Alexandr Grebennikov,Austria,international grandmaster,Agreb
Hsin-Wei Hou,Taiwan,international grandmaster,WiwiHo
Youngwoo Park,South Korea,international grandmaster,as_dfsdf
,Japan,international grandmaster,anmichi
Oleh Naver,Ukraine,international grandmaster,oleh1421
,China,international grandmaster,BilyHurington
,Romania,international grandmaster,anpaio
Qihao Jin,China,international grandmaster,_l_l_
,Taiwan,international grandmaster,abc864197532
,North Korea,international grandmaster,scli_kws
Vsevolod Lepeshov,Niue,international grandmaster,sevlll777
Honghao Niu,China,international grandmaster,APJifengc2
max0810,,international grandmaster,max0810
Pavel Mavrin,Kyrgyzstan,international grandmaster,pashka
Leonid Danilevich,Russia,international grandmaster,LeoPro
Jun Tao,China,international grandmaster,tarjen
Da Das,South Korea,international grandmaster,MATDORI
Minchul Park,South Korea,international grandmaster,ComPhyPark
Albert Yulius,Indonesia,international grandmaster,Zanite
,Russia,international grandmaster,PvPro
Tia Shi Wei,Singapore,international grandmaster,maomao90
,,grandmaster,__baozii__
,,grandmaster,xiao_lang
Alireza Kaviani,Iran,grandmaster,alireza_kaviani
,,grandmaster,JaeminPark
,China,grandmaster,nosajuil
,South Korea,grandmaster,IZONE
Mikhail Ivanov,Russia,grandmaster,orz
Fly past the moon,China,grandmaster,exgcd
,,grandmaster,0wuming0
,China,grandmaster,SATSKY_2025target_LGM
,,grandmaster,bookcat
Yiming Li,China,grandmaster,liympanda
,Vatican,grandmaster,JeanBombeur
FV215b 183 Starburst Butterfly,,grandmaster,Mindeveloped
reee tiiired,,grandmaster,_istil
Ge Wu,China,grandmaster,vtb
System Start,China,grandmaster,systemStart
,,grandmaster,Worteltje
,China,grandmaster,hhhyyyfff
Sanghoon Park,South Korea,grandmaster,qwerasdfzxcl
Teetat Thamronglak,Thailand,grandmaster,ttamx
,,grandmaster,pandaforever
,China,grandmaster,bunH2O
a aa,,grandmaster,dyppp
AmirMohamad Shahrezaei,Iran,grandmaster,AmShZ
,,grandmaster,Warma
watanabe makoto,Japan,grandmaster,noya2
Aeren,South Korea,grandmaster,Halzion
LianKao-Rating-verify,,grandmaster,__ZMF__
,United States,grandmaster,golomb
Takuki Kurokawa,Japan,grandmaster,tabr
Arsen Hambarcumyan,Armenia,grandmaster,zidder
,Japan,grandmaster,chinerist
,United States,grandmaster,SeptaCube
Johan Wind,Norway,grandmaster,icecuber
Jihoo Lee,South Korea,grandmaster,Numbering
Artem Agafonov,Russia,grandmaster,AgafonovArtem
Sirui Li,China,grandmaster,Watersphere
,China,grandmaster,op__op
yiheng su,China,grandmaster,suyiheng
Mia Taylor,South Korea,grandmaster,Hyperbolic
,Japan,grandmaster,keisuke6
Mihai-Valeriu Voicu,Romania,grandmaster,ntherner
Qiyu Cai,China,grandmaster,rui_er
,Japan,grandmaster,kmjp
Turkhuu Batbayar,Mongolia,grandmaster,turkhuu622
Peijian Du,China,grandmaster,w4p3r
Mutiraj Laksanawisit,Thailand,grandmaster,36champ
,,grandmaster,sunzh2
,,grandmaster,AA-2007
Jakub Safin,Slovakia,grandmaster,Xellos
,Japan,grandmaster,physics0523
Bosco Wang,Hong Kong,grandmaster,potatoo
OeHPz991fG,Taiwan,grandmaster,amano_hina
Haowei Yuan,China,grandmaster,crescent_yhw
,Taiwan,grandmaster,alvingogo
Zhibo Yang,China,grandmaster,ballpoint_pen
Daniel Anker Hermansen,Denmark,grandmaster,DanielAnker
Anton Martynov,Russia,grandmaster,ace5
VNtUKsEjUersOjo3DxZ8 VNtUKsEjUersOjo3DxZ8,China,grandmaster,E_fireworks
,,grandmaster,Gold14526
,Japan,grandmaster,KumaTachiRen
Zakhar Iakovlev,Russia,grandmaster,iakovlev.zakhar
Eric Huang,Taiwan,grandmaster,phoenix0423
Karolis Kusas,Lithuania,grandmaster,KrK
Leon Trotsky,Mexico,grandmaster,fft_ntt
Jongyoung Lee,South Korea,grandmaster,mo_onrabbit2
q1w2e3r4,China,grandmaster,q1w2e3r4_1
Valerio Stancanelli,Italy,grandmaster,TheScrasse
,,grandmaster,liyouran
APPLE TREE 34,Greece,grandmaster,pineapple_tree_34
,Taiwan,grandmaster,olmrgcsi
Yidi,Germany,grandmaster,Anonymous_Noob
Artyom Popkov,Russia,grandmaster,bjcb
JunHyuk Song,South Korea,grandmaster,SongC
Yi Kai Tan,Singapore,grandmaster,kai824
Roman Pervutinskiy,Russia,grandmaster,RP-1
Boaca Andrei,Romania,grandmaster,andrei_boaca
Gleb Kostylev,Russia,grandmaster,kostylevGO
Elias Lolck,Denmark,grandmaster,Sofapuden
,Russia,grandmaster,plagues
Yukuan Zhu,China,grandmaster,HugeWide
Max Jiang,Canada,grandmaster,uwu
,Australia,grandmaster,awu
Zonghan Yang,China,grandmaster,-14
Gabriel Wu,United States,grandmaster,gabrielwu
,South Korea,grandmaster,yookwi
IUqYpD1B4QwU9CgnGddv,China,grandmaster,jiazhichen844
Kaixuan Cheng,China,grandmaster,raincity
Hao Lu,China,grandmaster,afuafu
Leonardo Valente Nascimento,Brazil,grandmaster,defnotmee
,Japan,grandmaster,nuip
Ipc21yLJRBUYEa9felnY,,grandmaster,while_zeze
Dino Hadžić,Croatia,grandmaster,-adhd-
,China,grandmaster,rlc202204
LrrLUiUVRn1trYbnN6kW,China,grandmaster,ian_HLX
Piggy123 akioi Zhu qingyue,China,grandmaster,mhb2010
UwoQg3SMrHMy0tuXyPwj,China,grandmaster,wrk123
,Türkiye,grandmaster,carcinisation
Artsiom Savich,,grandmaster,nifeshe
,China,grandmaster,fangzhijian2020
,Japan,grandmaster,harurun4635
Kim Won Kuk,North Korea,grandmaster,volcano_2025
Taehwan Jang,South Korea,grandmaster,jjang36524
Dmitry Akulov,France,grandmaster,Akulyat
,,grandmaster,qwef_
Ali Shahali,Iran,grandmaster,AliShahali1382
Artsem Zhuk,Belarus,grandmaster,Arterm
,,grandmaster,wenkaijie
Parsa Pordeli Behrouz,Iran,grandmaster,ymmparsa
,China,grandmaster,ETO_leader
,China,grandmaster,Raiden_Mei_
Fei Pan,China,grandmaster,Flannery
,Taiwan,grandmaster,zacharychao
,China,grandmaster,Ecrade_
,Japan,grandmaster,Mitsubachi
Ruiyang Xu,China,grandmaster,Revived_xryjr233
zKRqWXrUU6JSp6MYz9v2,,grandmaster,fast_photon
,Vietnam,grandmaster,BaoJiaoPisu
I6IYkJYjBVNMf52OgLCQ,China,grandmaster,UKBwyx
,Mongolia,grandmaster,Onolt_kh
Artur Smolenski,Poland,grandmaster,ArturSmolenski
,,grandmaster,PAIPAIPAI
Andy Lin,Taiwan,grandmaster,lnsuyn
Jatin Yadav,India,grandmaster,jtnydv25
,China,grandmaster,lijunyi
Minh Nguyen Quang,Vietnam,grandmaster,minhcool
Daniel Wu,United States,grandmaster,DanTheMan.
Yihang Guo,China,grandmaster,Guoyh
Yun Xi,,grandmaster,Sirantic
,Austria,grandmaster,nitram
,Japan,grandmaster,GOTKAKO
,Singapore,grandmaster,limanjun
Farkhod Khakimiyon,Tajikistan,grandmaster,Farhod
Jiahe Yu,China,grandmaster,YuJiahe
Nishank Suresh,India,grandmaster,IceKnight1093
,,grandmaster,Austin__Griffin
Spencer Lee,United States,grandmaster,SpinSpen
,China,grandmaster,expi0i
,,grandmaster,zhoujk666
IIASIA,China,grandmaster,1G1U4E5S1T4
,Vietnam,grandmaster,ahihi1234
Yangyang Feng,China,grandmaster,Falashiro
,China,grandmaster,hcywoi
Viktor Kozhuharov,Bulgaria,grandmaster,Sorting
,China,grandmaster,_FJqwq
Ilia Stepanov,Russia,grandmaster,irkstepanov
Vladimir Zvezdin,Russia,grandmaster,zwezdinv
qwq,China,grandmaster,CountingGroup
Artem Sarapkin,Russia,grandmaster,ArSarapkin
Qiyuan Ren,China,grandmaster,Fantasy_Blue
Yongjin Jeong,South Korea,grandmaster,JYJin
97ultuSEZAJGg3iLLCTM,China,grandmaster,fishcathu
Daniel Chang,United States,grandmaster,DanielChang
vx8NJhxCHa8Bej3BOL5a vx8NJhxCHa8Bej3BOL5a,,grandmaster,FantasyNumber
,South Korea,grandmaster,Inari
Abraham Macias,Mexico,grandmaster,Marckess
Heng Liao,Taiwan,grandmaster,hengliao
Sergey,Russia,grandmaster,LOL_I_AM_SERZH
,,grandmaster,_.Ali._
,China,grandmaster,_ANIG
The wind can be still...,,grandmaster,guestxd
Anju Suzumiya,China,grandmaster,SunsetGlow95
,China,grandmaster,jeff_qi
Toni Brajko,Croatia,grandmaster,ToniB
IPIPBIO,China,grandmaster,sigmoid114
Ruohong Jiang,China,grandmaster,installb
Yuya Hirasawa,Japan,grandmaster,hirayuu_cf
,China,grandmaster,wangmarui
,Singapore,grandmaster,wakaka
,Australia,grandmaster,caterpillow
Mark Privodnov,Russia,grandmaster,Mark_Pr
StonksCF-verify rjp1SXGAX8dBHxhVG7YP,,grandmaster,robertfan
,China,grandmaster,seanlsy
,,grandmaster,72txdy
Uika Misumi,,grandmaster,MisumiUika
,,grandmaster,415411
,Vietnam,grandmaster,Kriz_Wu
Aloysius Lim,Singapore,grandmaster,pooty
,Singapore,grandmaster,DylanSmith
Aidar Munduzbaev,Kyrgyzstan,grandmaster,aimoon
StonksCF-verify,,grandmaster,EnuTieTie
,,grandmaster,Hoks_
Yann-Shiu Chern,Netherlands,grandmaster,alphaGem
,China,grandmaster,fyable
mohammad kilani,Jordan,grandmaster,Az3ar
Fei Pan,China,grandmaster,Flandre
Viacheslav Hrushev,,grandmaster,Be_dos
sleep and think,,grandmaster,TBWW
Kirill Kardash,Belarus,grandmaster,k1r1t0
Ethan Lee,United States,grandmaster,lethan3
,Poland,international master,retarddestroyer
Tomohiro Oka,Japan,international master,natsugiri
Mark Belyaev,Germany,international master,Noobish_Monk
,,international master,-0v0-
Jerzy Olkowski,Poland,international master,jerzyk
,Germany,international master,qusol
,,international master,xcx2010
,Japan,international master,Rice_tawara459
,,international master,Kaling
Isaunoya,China,international master,Retired_Isaunoya
,South Korea,international master,lumine_scence
,,international master,phsads
amirhosein farkhondehfar,Iran,international master,amirhoseinfar1385
Tiago Goncalves,Brazil,international master,tfg
Roland Petrean,Romania,international master,rolandpetrean
,Ukraine,international master,Denisov
Michael Free,Poland,international master,Michal_1
,,international master,zyc212139
Boris Mihov,Bulgaria,international master,libobil
,South Korea,international master,16777216
,,international master,AWR2020
,China,international master,ValenciaTravis
,,international master,kangleni
Sergey Dyakonov,Russia,international master,sdyakonov
,China,international master,chen_zida
,,international master,chenguoyi
B6vG5iuB5UvOwwBvC71z,,international master,d_k_d
Stan Zhang,United States,international master,riverwalk7
,Portugal,international master,Egg_eating_master
,,international master,cqrcqr
,Japan,international master,leaf1415
Andrew Dong,Canada,international master,Andycipation
Peiran Li,China,international master,masonpop
,,international master,0xF1
nzq,Rwanda,international master,bingpao
Eduard Tykhoniuk,Ukraine,international master,MAKMED1337
Anthony Yunfan Zhao,China,international master,anthonyaaab123
,Russia,international master,Timur_Kotlyarov228
hello my name is aykhan damirli siuu,Azerbaijan,international master,dmraykhan
Culver Kwan,Hong Kong,international master,culver0412
Vsevolod Timofeev,Russia,international master,IHateGeometry
,China,international master,mxj_helen
,,international master,zz2745518585
,China,international master,houzhiyuan123
,China,international master,.Miikka.
,,international master,XY_Eleven
,Japan,international master,Z_actuary
Ildar Gainullin,,international master,300iq
Nicholas Ko,Hong Kong,international master,__jk__
loser,China,international master,larsr
Gabriel Pua,Philippines,international master,Gabp
,,international master,baoziiQwQ
,Russia,international master,zabiyakaubivaka
,,international master,mRXxy0u0
Théo Hollender,France,international master,mrthimote
,,international master,getawronganswer
VuW8LrViXR086ijuYAQU,China,international master,CarroT1212
L9eUo4wQdtPzRzZjRtcm,China,international master,Scean_Tong
,Russia,international master,NickMish
,Spain,international master,MeGustaElArroz23
,,international master,aoliao_lovely
,China,international master,dieselhuang
"Guilt from sins motivates all, submission leads to painful death",,international master,529
Dumitru Ilie,Romania,international master,The-Winner
Maxwell He,Canada,international master,Mkswll
JQH-Rating-verify OzdJ7GCmPUiUhGi0rDEw,China,international master,sunkaihuan
,Cameroon,international master,Egg_laying_master
Yangfei Long,China,international master,Suwan
,China,international master,Zachary_Gao
qwfgbksdajbhowqig kbPZrQ0gB6vTFbWSCjSx,China,international master,cyx
,,international master,eric574
Isaac Chan,Hong Kong,international master,snowysecret
9TA5leqkEQM2MihzgeYa 9TA5leqkEQM2MihzgeYa,,international master,zjdl
Chen Libang,China,international master,Celebrate
TsuhU0cfhKN6NlrxXYqp,,international master,Genius_Star_rgw
Adam Soltan,Poland,international master,ahsoltan
